pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
GBPJPY,asia,2025-07-20T22:00:00.000000+0000,2025-07-21T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,2.17154,2.16216,1.904588,4,basket_tp_pips,75
GBPUSD,asia,2025-07-20T22:00:00.000000+0000,2025-07-21T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,session_close,300
NZDUSD,asia,2025-07-20T22:00:00.000000+0000,2025-07-21T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,-0.0572,2.145,1.7017,3,session_close,300
EURJPY,london,2025-07-21T02:00:00.000000+0000,2025-07-21T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,5,0.05641,3.022799,8.720415,8.720415,5,basket_tp_pips,304
GBPJPY,london,2025-07-21T02:00:00.000000+0000,2025-07-21T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,6,0.071051,4.137618,13.181345,12.973445,6,basket_tp_pips,298
GBPUSD,london,2025-07-21T02:00:00.000000+0000,2025-07-21T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,5,0.05641,-8.09952,12.53109,12.35949,5,session_close,480
NZDUSD,london,2025-07-21T02:00:00.000000+0000,2025-07-21T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.286,1.8447,1.3585,3,session_close,480
EURJPY,new_york,2025-07-21T12:00:00.000000+0000,2025-07-21T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,1.2078,1.2078,3,basket_tp_pips,79
GBPJPY,new_york,2025-07-21T12:00:00.000000+0000,2025-07-21T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,1.96364,1.6632,1.55232,4,basket_tp_pips,50
GBPUSD,new_york,2025-07-21T12:00:00.000000+0000,2025-07-21T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,2.836368,4.01258,3.68368,4,basket_tp_pips,306
NZDUSD,new_york,2025-07-21T12:00:00.000000+0000,2025-07-21T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,daily_liquidation,531
EURJPY,asia,2025-07-21T22:00:00.000000+0000,2025-07-22T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,2.17154,2.00772,1.55232,4,basket_tp_pips,147
GBPJPY,asia,2025-07-21T22:00:00.000000+0000,2025-07-22T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,2.17154,3.610319,2.947019,4,basket_tp_pips,149
GBPUSD,asia,2025-07-21T22:00:00.000000+0000,2025-07-22T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.525333,0.3146,0.143,3,basket_tp_pips,255
NZDUSD,asia,2025-07-21T22:00:00.000000+0000,2025-07-22T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.525333,0.429,0.0,3,basket_tp_pips,255
EURJPY,london,2025-07-22T02:00:00.000000+0000,2025-07-22T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.594,0.4554,3,basket_tp_pips,113
GBPJPY,london,2025-07-22T02:00:00.000000+0000,2025-07-22T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,1.0989,0.6039,3,basket_tp_pips,113
GBPUSD,london,2025-07-22T02:00:00.000000+0000,2025-07-22T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,1.7303,0.6578,3,basket_tp_pips,365
NZDUSD,london,2025-07-22T02:00:00.000000+0000,2025-07-22T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.0582,1.144,1.1011,3,session_close,480
