pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
GBPJPY,new_york,2025-01-10T13:00:00.000000+0000,2025-01-10T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.61875,0.61875,3,basket_tp_pips,10
GBPUSD,new_york,2025-01-10T13:00:00.000000+0000,2025-01-10T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,8,0.160735,-87.465876,0.0,0.0,8,basket_sl_pips,31
NZDUSD,new_york,2025-01-10T13:00:00.000000+0000,2025-01-10T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,6,0.09207,5.345139,0.0,0.0,6,basket_tp_pips,31
EURJPY,asia,2025-01-10T23:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,asia,2025-01-10T23:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,asia,2025-01-10T23:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
NZDUSD,asia,2025-01-10T23:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
EURJPY,london,2025-01-11T03:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,london,2025-01-11T03:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,london,2025-01-11T03:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
